tag,count,ratio
prophylactic_latent,590,0.219576
control_over_dynamics,586,0.218087
deferred_initiative,503,0.187198
neutral_maneuver,500,0.186081
constructive_maneuver,422,0.157052
control_file_seal,356,0.132490
cod_file_seal,274,0.101972
structural_integrity,273,0.101600
maneuver_opening,267,0.099367
neutral_tension_creation,238,0.088575
prophylactic_direct,225,0.083737
winning_position_handling,219,0.081504
tension_creation,195,0.072572
control_regroup_consolidate,165,0.061407
structural_compromise_dynamic,160,0.059546
forced_move,159,0.059174
risk_avoidance,144,0.053591
control_plan_kill,138,0.051358
opening_central_pawn_move,130,0.048381
constructive_maneuver_prepare,100,0.037216
positional_sacrifice,98,0.036472
losing_position_handling,96,0.035728
positional_space_sacrifice,94,0.034983
cod_regroup_consolidate,89,0.033122
initiative_attempt,89,0.033122
accurate_knight_bishop_exchange,83,0.030889
control_king_safety_shell,70,0.026051
file_pressure_c,68,0.025307
failed_maneuver,56,0.020841
misplaced_maneuver,56,0.020841
control_freeze_bind,55,0.020469
cod_freeze_bind,49,0.018236
structural_compromise_static,42,0.015631
cod_king_safety_shell,40,0.014886
prophylactic_meaningless,35,0.013026
cod_plan_kill,30,0.011165
opening_rook_pawn_move,27,0.010048
premature_attack,27,0.010048
control_space_clamp,24,0.008932
prophylactic_failed,17,0.006327
tactical_sacrifice,16,0.005955
inaccurate_knight_bishop_exchange,14,0.005210
positional_structure_sacrifice,14,0.005210
missed_tactic,13,0.004838
bad_knight_bishop_exchange,12,0.004466
tactical_initiative_sacrifice,9,0.003349
speculative_sacrifice,8,0.002977
structural_blockage,8,0.002977
cod_blockade_passed,5,0.001861
control_blockade_passed,5,0.001861
failed_prophylactic,5,0.001861
tactical_sensitivity,5,0.001861
first_choice,4,0.001489
tactical_combination_sacrifice,3,0.001116
cod_space_clamp,1,0.000372
inaccurate_tactical_sacrifice,1,0.000372
