tag,count,ratio
control_over_dynamics,1114,0.219162
neutral_maneuver,771,0.151682
deferred_initiative,732,0.144009
prophylactic_latent,728,0.143223
winning_position_handling,622,0.122369
control_file_seal,592,0.116467
structural_integrity,526,0.103482
maneuver_opening,477,0.093842
constructive_maneuver,470,0.092465
cod_file_seal,453,0.089121
prophylactic_direct,371,0.072988
losing_position_handling,367,0.072201
control_regroup_consolidate,339,0.066693
forced_move,321,0.063152
failed_maneuver,284,0.055873
misplaced_maneuver,284,0.055873
neutral_tension_creation,274,0.053905
control_plan_kill,273,0.053708
structural_compromise_dynamic,254,0.049970
control_king_safety_shell,244,0.048003
risk_avoidance,233,0.045839
opening_central_pawn_move,227,0.044659
prophylactic_meaningless,207,0.040724
tension_creation,187,0.036789
positional_sacrifice,173,0.034035
cod_regroup_consolidate,171,0.033642
constructive_maneuver_prepare,166,0.032658
cod_king_safety_shell,157,0.030887
positional_space_sacrifice,155,0.030494
accurate_knight_bishop_exchange,151,0.029707
missed_tactic,102,0.020067
initiative_attempt,100,0.019673
prophylactic_failed,96,0.018886
file_pressure_c,95,0.018690
control_freeze_bind,90,0.017706
cod_freeze_bind,76,0.014952
cod_plan_kill,55,0.010820
structural_compromise_static,54,0.010624
bad_knight_bishop_exchange,48,0.009443
positional_structure_sacrifice,46,0.009050
speculative_sacrifice,44,0.008656
tactical_sacrifice,39,0.007673
premature_attack,36,0.007082
control_space_clamp,35,0.006886
structural_blockage,31,0.006099
inaccurate_knight_bishop_exchange,29,0.005705
opening_rook_pawn_move,22,0.004328
tactical_initiative_sacrifice,21,0.004131
control_blockade_passed,16,0.003148
cod_blockade_passed,13,0.002558
tactical_sensitivity,13,0.002558
inaccurate_tactical_sacrifice,12,0.002361
tactical_combination_sacrifice,11,0.002164
first_choice,2,0.000393
conversion_precision,1,0.000197
failed_prophylactic,1,0.000197
