tag,count,ratio
control_over_dynamics,588,0.240294
prophylactic_latent,438,0.178995
deferred_initiative,393,0.160605
neutral_maneuver,388,0.158562
constructive_maneuver,332,0.135676
control_file_seal,325,0.132816
structural_integrity,261,0.106661
maneuver_opening,258,0.105435
cod_file_seal,254,0.103801
prophylactic_direct,248,0.101349
forced_move,242,0.098897
winning_position_handling,235,0.096036
neutral_tension_creation,224,0.091541
tension_creation,188,0.076829
control_plan_kill,167,0.068247
control_regroup_consolidate,157,0.064160
opening_central_pawn_move,137,0.055987
risk_avoidance,135,0.055170
structural_compromise_dynamic,118,0.048222
control_king_safety_shell,111,0.045362
initiative_attempt,110,0.044953
constructive_maneuver_prepare,105,0.042910
positional_sacrifice,90,0.036780
positional_space_sacrifice,83,0.033919
cod_regroup_consolidate,81,0.033102
accurate_knight_bishop_exchange,71,0.029015
file_pressure_c,62,0.025337
cod_king_safety_shell,51,0.020842
control_freeze_bind,39,0.015938
failed_maneuver,39,0.015938
misplaced_maneuver,39,0.015938
cod_freeze_bind,35,0.014303
opening_rook_pawn_move,35,0.014303
cod_plan_kill,34,0.013895
premature_attack,27,0.011034
prophylactic_meaningless,26,0.010625
tactical_sacrifice,26,0.010625
structural_compromise_static,24,0.009808
control_space_clamp,22,0.008991
positional_structure_sacrifice,19,0.007765
tactical_initiative_sacrifice,14,0.005721
control_blockade_passed,12,0.004904
inaccurate_knight_bishop_exchange,11,0.004495
cod_blockade_passed,10,0.004087
missed_tactic,7,0.002861
tactical_combination_sacrifice,7,0.002861
bad_knight_bishop_exchange,6,0.002452
inaccurate_tactical_sacrifice,5,0.002043
prophylactic_failed,5,0.002043
tactical_sensitivity,5,0.002043
speculative_sacrifice,4,0.001635
structural_blockage,4,0.001635
first_choice,3,0.001226
conversion_precision,1,0.000409
failed_prophylactic,1,0.000409
