tag,count,ratio
control_over_dynamics,297,0.269755
neutral_maneuver,259,0.235241
deferred_initiative,233,0.211626
prophylactic_latent,231,0.209809
control_file_seal,198,0.179837
cod_file_seal,144,0.130790
constructive_maneuver,143,0.129882
losing_position_handling,104,0.094460
control_regroup_consolidate,101,0.091735
neutral_tension_creation,97,0.088102
structural_integrity,84,0.076294
maneuver_opening,80,0.072661
prophylactic_direct,80,0.072661
risk_avoidance,72,0.065395
control_plan_kill,64,0.058129
tension_creation,63,0.057221
structural_compromise_dynamic,60,0.054496
forced_move,59,0.053588
opening_central_pawn_move,54,0.049046
constructive_maneuver_prepare,45,0.040872
control_king_safety_shell,45,0.040872
file_pressure_c,44,0.039964
positional_sacrifice,41,0.037239
prophylactic_meaningless,38,0.034514
initiative_attempt,36,0.032698
positional_space_sacrifice,36,0.032698
failed_maneuver,35,0.031789
misplaced_maneuver,35,0.031789
accurate_knight_bishop_exchange,34,0.030881
cod_regroup_consolidate,33,0.029973
cod_king_safety_shell,31,0.028156
prophylactic_failed,30,0.027248
control_freeze_bind,28,0.025431
structural_compromise_static,24,0.021798
cod_freeze_bind,23,0.020890
winning_position_handling,20,0.018165
positional_structure_sacrifice,17,0.015441
cod_plan_kill,12,0.010899
premature_attack,12,0.010899
tactical_sacrifice,11,0.009991
failed_prophylactic,10,0.009083
tactical_initiative_sacrifice,10,0.009083
control_blockade_passed,7,0.006358
control_space_clamp,7,0.006358
speculative_sacrifice,7,0.006358
cod_blockade_passed,6,0.005450
opening_rook_pawn_move,6,0.005450
bad_knight_bishop_exchange,4,0.003633
missed_tactic,4,0.003633
inaccurate_knight_bishop_exchange,3,0.002725
tactical_sensitivity,3,0.002725
first_choice,2,0.001817
tactical_combination_sacrifice,2,0.001817
cod_space_clamp,1,0.000908
inaccurate_tactical_sacrifice,1,0.000908
structural_blockage,1,0.000908
